Model,Test Accuracy,Test F1,Test ROC-AUC,CV F1 Mean,Generalization Gap
Original (RF Unregularized),0.9962756052141527,0.9962754682617914,0.999962542998437,N/A,N/A
Tuned (RF Regularized),0.8539138252102999,0.8541252434282832,0.9601828476257926,0.8551,0.0010
XGBoost Ensemble,0.93719899826623,0.9371738173528628,0.9919266588604532,0.9366,0.0006
