subject,EAR,MAR,pitch,yaw
1,0.30373427591145197,0.010927297443075712,230.0989149940909,369.90223393410196
2,0.30167075641332375,0.01496227927441453,205.90082158483767,324.8925063909485
3,0.28303802735193356,0.010225397927030377,203.7856170105505,368.57074443239696
4,0.2962920771761646,0.013034423681634056,97.36192255224785,160.95292318438717
5,0.32713356384402864,0.012006696631356444,194.94146505152665,308.11221694817965
6,0.2810631715996405,0.016665177150071542,244.1814818450191,392.92973274180946
7,0.26097697561642114,0.006269683874678274,293.5477743931154,537.8725650784716
8,0.30158954366725416,0.01115436488490323,69.25692498464973,120.36777058643248
9,0.312396696281911,0.007994464739130102,327.4760954505351,547.4274395818763
10,0.2648658409212282,0.0046814713568399625,78.5605380827243,129.27987578146266
11,0.32413367949576344,0.005003040337208709,117.94986775422585,221.29601967214114
12,0.3338716362600375,0.033667367089735216,102.1042338191004,184.99296296740138
13,0.34958161735431775,0.0287976311125186,153.16965873557456,289.8221476513966
14,0.28625885414828084,0.004303920797306419,356.8515607712633,617.1718721050865
15,0.24104814392737803,0.004987217938181699,134.46852306654657,263.87143230234057
16,0.34487079014177857,0.008001697611430431,170.07831159466005,250.20013717203915
17,0.34722388250499037,0.006819610545996073,60.69797998690393,109.31583118987756
18,0.22901420441991002,0.03879091676144661,161.1508161010037,306.88771018465735
19,0.2818350033072431,0.01209802016146486,249.92390788689477,430.4557249729517
20,0.2533690078671284,0.009391134861236864,266.1607109794146,454.9879246661176
21,0.27929111049492505,0.0102292198184355,151.65850754359766,254.9157583955768
22,0.284985562606589,0.009815753925896746,205.14840785740344,352.2400090635288
23,0.34251878061176255,0.023583731626147405,75.04388373343726,117.90492418130701
24,0.2410230424579345,0.02599894830822675,218.0151408037249,354.37232784210096
25,0.30291942854997783,0.008197115815687822,259.35295518821187,494.10195252551324
26,0.3154801163135457,0.010591590046328458,135.74565313872557,228.14813931013538
27,0.31527931199795134,0.01735943954607553,135.22107703173106,226.94167142121975
28,0.22942570480872704,0.008359061150555304,228.22814026532816,360.2476172852241
29,0.242698293883617,0.004985161626142798,111.33975670602881,206.12304950603757
30,0.2881926820922153,0.004088999890189595,302.91544440425605,521.8107542209605
31,0.2923563359522123,0.042185875610898385,123.1889262374815,181.96325292340097
32,0.2887618924673441,0.08815267273993925,224.53441894515638,358.17976183762664
33,0.290642667941291,0.009272848252407298,210.54934142715686,368.096246291946
34,0.24948808649414342,0.014955990316086057,159.17837026909947,270.2517937149871
35,0.26885032342338816,0.014090464452343809,373.97620359971376,613.0917873003569
36,0.25777613434434726,0.009269914886799409,133.5233992045822,233.57395098758212
37,0.24625451262394754,0.005570363861444668,185.3939827830322,374.2551464054311
38,0.28118154426634645,0.007598712601167889,236.88032873524992,377.94380623931005
39,0.2581874841945867,0.01614021547352025,264.6452862600981,432.7025544476317
40,0.3109005386768,0.003681286606623211,125.88444214506215,251.3825275347254
41,0.24965352892710915,0.0227607087974829,146.13659541287328,244.58748247708823
42,0.2851192483270732,0.005555912184898942,391.8274602069851,752.2365780787093
43,0.278629582516599,0.009387902956260536,152.3358887926909,289.067781455479
44,0.2408494210017156,0.0171382226197105,149.50282245532253,273.978502484011
45,0.32057954927231463,0.011483435500543834,51.54180598724803,89.50904110097034
47,0.337115366311309,0.005616256473383519,250.30406392404996,412.13306869324003
48,0.2622328378814282,0.015976946432452253,255.95098204983609,435.60982974764784
