fold,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,roc_auc_weighted
1,0.72075,0.7309103248694216,0.72075,0.7178926800759022,0.7177672667653573,0.883495469157102
2,0.7135,0.7232232544095503,0.7135,0.7098427849692625,0.7097292204684434,0.8812357212778309
3,0.717,0.7276971423912277,0.717,0.7145105909114292,0.7142715822172884,0.8884995991755045
4,0.716,0.7234716797435568,0.716,0.7131710951568757,0.7130188316097718,0.8834310344194518
5,0.7075,0.7163777872938805,0.7075,0.7042108093392544,0.7040717269938169,0.8811402909855874
