fold,accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,roc_auc_weighted,n_train,n_val
1,0.9819559493996018,0.9819527967587464,0.9819406987030113,0.9819574073183783,0.9819559493996018,0.9992554441330012,186872,46719
2,0.9838606104713387,0.9838697331922082,0.9838595576358018,0.9839147173660224,0.9838606104713387,0.9994045128571672,186873,46718
3,0.9806498565863264,0.9806450518951635,0.9806346134262985,0.9806493504821396,0.9806498565863264,0.9991574310839555,186873,46718
4,0.9819555631662314,0.9819496398962334,0.9819280808380667,0.9819514453782444,0.9819555631662314,0.999262727071984,186873,46718
5,0.9819983732180316,0.9819908503892636,0.9819842620047302,0.982017153054828,0.9819983732180316,0.9992554116997319,186873,46718
